id,PTS
2954,8.29
1582,7.57
785,7.78
2213,7.70
2987,6.61
4249,5.08
3097,6.86
1288,6.81
2457,7.28
1573,8.71
2937,7.77
3654,7.07
71,7.31
2452,7.82
2532,6.85
511,8.64
4134,7.65
317,7.05
3296,8.39
3486,6.19
3618,6.94
3082,8.54
1878,7.41
2588,7.31
2686,7.56
1365,7.63
2078,6.49
3817,8.94
95,6.48
1042,7.56
975,6.51
31,6.39
3530,6.39
3340,6.27
3142,6.14
1710,6.49
276,7.03
2518,8.43
2558,6.32
2154,7.35
2399,7.31
2831,5.80
1666,8.56
3877,6.37
3605,7.61
4426,6.46
1387,9.37
2574,7.49
1413,6.17
3623,8.45
3704,7.91
497,6.89
92,7.45
2671,8.01
3789,8.48
3218,8.07
1764,6.82
4297,5.23
2224,6.71
2555,7.31
560,7.01
2389,7.14
2890,8.26
1574,7.69
2169,7.98
2330,5.85
1027,5.90
2818,7.89
2602,7.79
3239,7.91
1556,7.86
1313,6.94
4048,6.26
3913,7.48
2047,7.42
1638,8.60
2914,7.30
2403,8.60
1956,7.39
1164,7.95
3374,8.29
2046,7.98
1198,6.59
4367,5.55
2340,5.95
4370,8.44
3383,8.83
3734,7.26
458,7.32
278,7.32
3019,8.51
3777,6.02
2475,6.94
114,5.80
2134,7.04
1299,8.91
3078,7.93
597,8.24
1214,6.81
866,8.46
1012,8.02
4014,6.74
2983,7.41
1977,6.31
3967,7.96
1539,6.09
388,8.03
2086,5.09
1595,8.50
69,6.84
1203,6.14
1814,7.13
4308,6.78
2366,9.27
3085,5.75
3690,7.22
485,6.93
3674,5.65
2104,7.50
627,8.42
1877,7.49
878,7.59
3701,8.01
2174,8.39
3589,7.26
2369,5.63
563,7.70
380,6.58
2973,6.77
1891,8.74
1772,7.40
2033,7.18
3698,7.39
2228,7.04
3782,5.20
1119,5.81
2855,8.10
3843,6.57
2730,7.21
1620,8.12
405,8.85
999,6.37
1024,8.07
736,8.23
1420,7.61
1017,5.92
4484,5.20
498,8.40
376,7.89
3336,6.79
1114,6.39
3840,6.98
2131,6.97
959,7.69
1769,8.25
2313,8.43
3458,8.49
769,9.64
658,7.30
339,8.20
3936,7.06
1072,5.76
2719,7.38
4439,6.81
2778,6.68
2343,8.05
2995,7.66
2912,4.78
1866,6.63
3552,7.87
3484,8.85
1517,8.13
1157,8.98
2271,7.88
695,8.13
3873,6.60
1507,6.02
318,6.56
1876,6.79
2902,8.28
1627,6.73
596,8.63
888,7.17
1091,8.15
2757,6.97
4243,7.33
4204,8.10
2777,7.87
3009,7.48
3127,7.10
1405,7.61
395,7.32
1237,6.39
15,6.25
2645,7.21
3427,8.20
76,7.25
2704,4.77
476,7.31
3891,7.83
2699,6.87
3693,8.37
3491,7.34
1058,6.72
3075,7.96
574,5.22
3309,7.15
3919,8.18
2254,7.45
2798,6.05
2179,7.37
363,9.01
3562,6.63
3029,5.51
1966,6.79
3712,7.15
2072,7.84
3931,7.25
1378,5.88
2909,6.36
2056,7.83
3797,8.16
4438,8.44
1903,6.32
3394,7.06
55,6.90
1943,6.32
1096,8.60
16,6.64
935,6.83
2320,6.73
459,8.20
1732,5.95
4313,7.86
4118,8.36
111,7.52
4023,8.19
3468,7.26
4180,6.92
1680,5.37
2528,8.15
1972,7.91
1996,8.10
1667,8.32
4217,7.86
171,6.42
4492,8.28
814,6.96
537,8.61
3925,10.32
1070,7.52
3909,5.59
1442,7.73
2031,5.18
3442,5.73
918,6.08
2030,5.26
803,8.44
1436,6.85
4149,7.85
411,6.19
1901,6.78
3889,5.51
2828,7.75
1905,5.78
3516,7.14
3399,6.60
1741,10.03
2539,8.54
2956,7.09
642,7.61
874,7.17
2745,5.68
307,8.03
1971,7.11
1232,5.65
2384,7.62
1605,6.41
665,7.00
4124,7.62
1847,7.12
577,5.43
1032,7.45
1564,6.96
4240,8.55
248,6.71
2988,6.77
3337,7.96
4045,5.97
4107,7.19
2540,8.32
4301,7.87
2245,7.83
1301,6.83
3585,7.76
4169,8.38
862,7.21
4027,7.82
1911,8.50
4125,7.26
1434,7.80
772,6.64
1433,7.44
1055,6.35
1193,7.17
3253,7.48
1460,7.60
1964,6.92
4443,7.54
468,6.18
3809,9.18
2500,7.36
1792,5.95
474,7.23
2607,7.98
1326,8.34
1048,7.35
1309,7.75
837,6.72
3476,7.00
349,7.39
1360,5.88
1249,7.44
3790,7.47
3949,8.84
3281,7.00
885,9.16
2013,7.99
2467,7.24
840,7.24
418,6.15
4343,5.18
3758,6.42
4445,7.30
153,7.16
3631,6.94
2361,6.15
1930,7.17
557,6.96
1777,5.97
950,6.59
1124,6.98
2827,7.21
3073,5.80
3851,7.35
48,8.29
3021,7.49
1160,8.65
1751,7.49
3792,7.72
1623,7.17
4489,7.06
2032,6.43
1754,8.06
1984,7.35
337,6.92
263,8.38
580,7.48
1787,5.61
3026,7.61
4393,6.18
3213,7.55
100,5.51
1342,7.37
4013,5.96
2464,7.51
47,7.75
249,6.37
1444,8.88
450,8.40
1831,5.01
365,8.05
144,5.86
3415,7.21
1447,7.25
587,5.84
1293,6.79
1383,9.22
4457,6.68
4369,8.30
1228,7.89
1345,7.30
2701,7.87
1484,7.00
1108,6.09
2992,9.05
1794,6.27
3454,7.54
1212,7.42
3227,6.59
1135,4.73
2934,7.96
4277,8.29
4059,7.25
3164,7.11
2334,5.76
1400,5.83
3798,8.77
3448,7.96
3554,7.20
1689,7.35
3660,6.76
3119,8.03
3453,7.02
3871,5.42
4192,6.76
3872,7.00
3606,8.05
3560,6.75
2550,7.62
2116,6.21
2548,8.45
3196,5.23
1683,5.52
3435,8.25
3449,6.05
3211,7.12
494,6.04
1744,7.17
354,7.95
4355,6.79
2227,7.90
659,6.53
1503,7.35
954,7.52
2661,8.67
4157,5.59
2742,5.69
2483,7.30
4178,6.97
2616,6.56
859,7.13
2316,7.63
1330,6.98
3143,6.54
2614,7.63
740,6.59
709,6.56
843,6.50
148,8.58
4491,7.55
400,6.85
830,9.17
3761,7.08
1472,8.52
2395,7.19
1278,7.66
57,7.73
2551,7.11
3079,6.50
1991,8.64
3390,8.35
3946,7.32
4101,6.61
1386,6.69
852,7.89
3679,7.28
2930,8.44
1530,8.06
1412,7.05
3493,7.33
4206,8.48
1347,8.17
1914,6.52
2383,6.95
789,7.33
607,7.13
795,6.83
493,7.54
1095,7.60
2025,8.74
3416,6.79
521,7.85
4106,8.02
1523,8.33
2626,7.08
211,7.40
2579,9.07
1800,6.12
2617,4.61
3397,7.04
1682,6.66
3436,9.34
721,8.18
335,8.36
2172,4.90
841,7.94
2515,9.31
3113,6.71
2618,6.99
2420,7.52
252,6.74
4362,7.94
505,8.23
2521,6.58
2311,7.79
4423,7.10
3813,8.00
3532,6.96
2599,7.98
98,5.24
714,8.25
966,4.80
4203,6.13
2280,6.84
2925,7.64
2257,6.90
993,8.48
265,6.35
1869,9.28
3,8.42
3323,6.31
63,7.13
1144,7.61
3249,6.63
1970,7.89
2027,7.87
2167,7.14
2530,5.85
2905,6.36
2994,6.82
513,6.72
4427,7.17
2186,7.87
3800,6.62
3215,7.02
1611,5.83
4224,7.26
726,6.05
1146,7.96
4017,8.16
3220,6.90
759,7.55
1829,8.05
417,7.92
824,5.95
2597,7.82
72,7.60
2455,7.06
2794,7.00
1384,6.61
4244,8.50
131,7.16
1677,7.44
1031,8.03
2247,7.43
3774,8.84
2963,7.97
3250,6.37
396,7.67
2610,5.70
2337,9.01
1242,6.37
2656,6.35
931,7.44
333,8.65
94,7.55
3104,6.83
3464,8.02
1668,4.81
2199,7.19
3699,7.81
273,7.20
336,7.41
496,7.80
4176,9.08
1229,8.45
3223,7.78
1813,5.93
1473,7.63
4482,6.69
3905,8.43
3571,6.87
679,8.29
3683,8.04
49,7.41
751,6.48
1273,6.31
4119,7.81
2594,7.47
3965,7.84
1262,8.90
779,8.74
2763,6.05
4105,6.97
1435,8.45
2209,7.79
3558,7.35
2060,7.61
4172,7.25
702,8.25
2160,7.15
3212,7.62
2511,6.43
2217,7.95
58,6.34
3290,5.74
2492,7.93
2605,7.04
5,8.48
504,7.08
280,7.17
3953,7.69
946,8.43
1752,8.02
561,7.94
367,8.82
191,7.25
806,6.70
3494,8.94
1635,7.20
2106,8.03
2877,8.24
2128,7.32
2812,6.05
2444,8.29
943,7.70
4493,9.41
425,8.39
2230,8.84
3041,7.30
1267,6.73
117,6.93
2077,7.18
4402,7.61
4375,6.16
2820,8.35
2465,5.85
3823,8.50
4085,6.89
4235,7.48
4282,6.74
205,8.77
3115,7.19
4407,7.65
1130,9.13
996,6.45
2690,8.16
2049,8.38
3402,8.32
638,5.83
1463,6.68
1321,8.83
1894,8.21
104,6.90
2896,6.92
3058,7.63
2476,7.46
4223,8.16
346,5.53
601,7.87
1161,7.99
2986,5.24
28,7.26
686,5.54
4428,5.82
3181,7.99
2028,6.37
2390,7.29
2393,7.00
4455,6.86
3325,5.82
4231,7.28
673,8.32
2874,5.84
1338,7.79
4241,7.87
3535,9.33
1110,7.11
4421,7.01
1886,5.82
4001,8.13
2773,7.28
2458,7.14
2970,5.30
221,7.25
589,7.05
4481,8.62
378,7.84
3155,8.78
893,6.89
2669,8.39
3053,7.90
2346,6.90
2695,9.29
3730,7.22
3308,6.85
3359,6.79
3706,5.85
2547,8.95
4186,5.71
3306,8.33
2170,6.87
106,6.94
713,8.32
3619,7.29
4315,7.36
2381,7.90
2147,8.03
3169,6.24
1076,6.01
562,5.99
3907,5.90
3338,6.59
1178,7.14
1341,7.30
3850,7.61
3676,7.55
1969,8.18
3525,7.69
1268,6.78
227,8.63
3025,6.90
1260,6.84
958,7.92
133,8.55
1684,5.35
2996,8.45
2480,8.62
1737,7.35
3353,8.01
1759,7.18
3257,7.16
2473,7.23
4364,7.74
2184,7.85
3764,7.07
545,5.73
988,6.74
2099,8.29
2596,6.84
1547,8.47
3906,7.05
1428,6.81
609,7.86
2299,4.47
3861,8.50
266,9.29
1021,7.04
4434,7.17
244,6.21
2216,7.42
1148,8.90
3106,7.17
3621,7.13
3666,7.24
1615,5.77
83,7.37
3256,8.63
1722,7.89
572,7.24
185,7.51
2536,7.29
575,8.47
433,7.22
3356,7.94
169,7.89
2360,6.75
671,6.26
99,6.65
78,5.46
1062,9.55
89,6.31
1281,7.73
2774,7.46
177,7.68
591,5.66
2432,8.52
2109,5.23
1534,5.44
3457,5.23
4212,7.52
2590,6.54
3298,6.42
891,7.99
2201,7.97
2752,7.15
951,8.43
2606,8.89
2918,7.42
816,8.07
1180,7.95
393,6.85
2759,8.84
466,7.42
2563,7.81
2062,8.41
4480,5.59
3804,6.01
970,7.18
1085,7.42
3050,7.05
929,6.44
3189,7.45
329,7.41
692,7.34
1698,5.42
2915,7.32
1188,6.04
2238,7.83
343,7.59
187,5.57
4097,6.79
3604,7.18
2208,7.38
2108,7.25
2081,5.68
1840,6.67
59,7.66
3736,6.53
2554,9.08
2720,7.16
2591,6.79
2252,6.90
728,6.60
46,8.34
978,8.29
495,8.32
1079,7.45
1739,6.14
3067,9.30
2113,7.06
1614,7.10
1898,7.23
3052,6.77
2139,8.04
3307,5.82
2273,6.73
1422,7.10
2042,6.84
847,7.89
3479,7.03
2066,6.11
3573,7.90
3979,7.20
4479,6.34
2944,6.43
452,7.71
519,7.56
4295,6.96
611,8.01
1774,6.29
1357,6.01
4498,7.27
2446,10.04
573,7.18
514,6.80
3380,7.18
1731,8.30
2418,8.26
1176,6.43
1236,7.80
309,6.36
3550,7.87
2898,8.07
2079,9.19
1982,6.63
4465,7.84
3821,8.42
3881,8.27
1713,8.87
2148,5.85
1578,8.63
3832,5.45
4290,6.38
4115,6.86
