id,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,AST,REB,ALL_STAR_APPEARANCES,PIE,PTS
2682,David,Vaughn,David Vaughn,"Vaughn, David",D. Vaughn,david-vaughn,1973-03-23T00:00:00,Memphis,USA,Memphis/USA,81.00,240.00,3,,Forward,Inactive,N,0,,,,,david_vaughn,1995,1998,N,Y,Y,1995,1,25,0.30,3.10,0.00,,3.94
1486,Javaris,Crittenton,Javaris Crittenton,"Crittenton, Javaris",J. Crittenton,javaris-crittenton,1987-12-31T00:00:00,Georgia Tech,USA,Georgia Tech/USA,77.00,200.00,2,8,Guard,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,javaris_crittenton,2007,2009,Y,Y,Y,2007,1,19,1.80,2.40,0.00,,6.34
595,Ed,Gray,Ed Gray,"Gray, Ed",E. Gray,ed-gray,1975-09-27T00:00:00,California,USA,California/USA,75.00,210.00,1,22,Guard,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,ed_gray,1997,1998,N,Y,Y,1997,1,22,0.80,1.20,0.00,,7.24
940,Rakeem,Christmas,Rakeem Christmas,"Christmas, Rakeem",R. Christmas,rakeem-christmas,1991-12-01T00:00:00,Syracuse,USA,Syracuse/USA,81.00,250.00,2,25,Forward,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,rakeem_christmas,2015,2016,Y,Y,Y,2015,2,36,0.10,1.90,0.00,,3.14
645,Stanley,Johnson,Stanley Johnson,"Johnson, Stanley",S. Johnson,stanley-johnson,1996-05-29T00:00:00,Arizona,USA,Arizona/USA,78.00,242.00,5,5,Forward-Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,stanley_johnson,2015,2020,Y,Y,Y,2015,1,8,1.20,2.20,,0.05,3.94
1782,Keith,Smith,Keith Smith,"Smith, Keith",K. Smith,keith-smith,1964-03-09T00:00:00,Loyola-Marymount,USA,Loyola-Marymount/USA,75.00,180.00,0,11,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_keith_smith,1986,1986,N,Y,Y,1986,2,45,1.00,0.80,0.00,,4.34
944,Kevin,Love,Kevin Love,"Love, Kevin",K. Love,kevin-love,1988-09-07T00:00:00,UCLA,USA,UCLA/USA,80.00,251.00,12,0,Forward-Center,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,kevin_love,2008,2020,N,Y,Y,2008,1,5,1.30,3.30,,0.07,6.84
4347,Greg,Smith,Greg Smith,"Smith, Greg",G. Smith,greg-smith,1947-01-28T00:00:00,Western Kentucky,USA,Western Kentucky/USA,77.00,195.00,7,4,Forward,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_greg_smith,1968,1975,N,Y,Y,1968,4,50,1.80,6.20,0.00,,8.84
2124,Martynas,Andriuskevicius,Martynas Andriuskevicius,"Andriuskevicius, Martynas",M. Andriuskevicius,martynas-andriuskevicius,1986-03-12T00:00:00,Zalgiris,Lithuania,Zalgiris/Lithuania,86.00,240.00,1,15,Center,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,martynas_andriuskevicius,2005,2006,Y,Y,Y,2005,2,44,0.00,0.70,0.00,,1.04
2947,Jim,Brewer,Jim Brewer,"Brewer, Jim",J. Brewer,jim-brewer,1951-12-03T00:00:00,Minnesota,USA,Minnesota/USA,81.00,210.00,8,8,Forward,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,HISTADD_jim_brewer,1973,1981,N,Y,Y,1973,1,2,1.50,6.30,0.00,,6.84
